index	name	red	green	blue	alpha
322	L_DVT_ROI	114.0	122.0	193.0	255.0
323	L_PGp_ROI	162.0	188.0	230.0	255.0
324	L_IP2_ROI	184.0	166.0	180.0	255.0
325	L_IP1_ROI	122.0	123.0	136.0	255.0
326	L_IP0_ROI	114.0	154.0	206.0	255.0
327	L_PFop_ROI	176.0	202.0	140.0	255.0
328	L_PF_ROI	255.0	249.0	223.0	255.0
329	L_PFm_ROI	138.0	103.0	115.0	255.0
330	L_PGi_ROI	51.0	64.0	51.0	255.0
331	L_PGs_ROI	68.0	70.0	60.0	255.0
332	L_V6A_ROI	28.0	92.0	166.0	255.0
333	L_VMV1_ROI	61.0	63.0	177.0	255.0
334	L_VMV3_ROI	49.0	57.0	166.0	255.0
335	L_PHA2_ROI	91.0	85.0	90.0	255.0
336	L_V4t_ROI	11.0	76.0	129.0	255.0
337	L_FST_ROI	83.0	149.0	150.0	255.0
338	L_V3CD_ROI	15.0	47.0	180.0	255.0
339	L_LO3_ROI	53.0	90.0	170.0	255.0
340	L_VMV2_ROI	69.0	61.0	169.0	255.0
341	L_31pd_ROI	55.0	34.0	55.0	255.0
342	L_31a_ROI	145.0	101.0	125.0	255.0
343	L_VVC_ROI	51.0	57.0	124.0	255.0
344	L_25_ROI	30.0	24.0	10.0	255.0
345	L_s32_ROI	45.0	35.0	19.0	255.0
346	L_pOFC_ROI	82.0	58.0	66.0	255.0
347	L_PoI1_ROI	169.0	115.0	102.0	255.0
348	L_Ig_ROI	92.0	139.0	37.0	255.0
349	L_FOP5_ROI	152.0	97.0	102.0	255.0
350	L_p10p_ROI	93.0	64.0	84.0	255.0
351	L_p47r_ROI	134.0	118.0	116.0	255.0
352	L_TGv_ROI	38.0	53.0	41.0	255.0
353	L_MBelt_ROI	182.0	20.0	18.0	255.0
354	L_LBelt_ROI	230.0	20.0	27.0	255.0
355	L_A4_ROI	146.0	37.0	4.0	255.0
356	L_STSva_ROI	25.0	31.0	18.0	255.0
357	L_TE1m_ROI	67.0	48.0	49.0	255.0
358	L_PI_ROI	122.0	53.0	50.0	255.0
359	L_a32pr_ROI	128.0	66.0	86.0	255.0
360	L_p24_ROI	118.0	38.0	70.0	255.0
