index	name	red	green	blue	alpha
180	7Networks_LH_Default_PFC_15	205.0	64.0	81.0	255.0
181	7Networks_LH_Default_PFC_16	205.0	64.0	82.0	255.0
182	7Networks_LH_Default_PFC_17	205.0	64.0	83.0	255.0
183	7Networks_LH_Default_PFC_18	205.0	64.0	84.0	255.0
184	7Networks_LH_Default_PFC_19	205.0	64.0	85.0	255.0
185	7Networks_LH_Default_PFC_20	205.0	65.0	78.0	255.0
186	7Networks_LH_Default_PFC_21	205.0	65.0	79.0	255.0
187	7Networks_LH_Default_PFC_22	205.0	65.0	80.0	255.0
188	7Networks_LH_Default_PFC_23	205.0	65.0	81.0	255.0
189	7Networks_LH_Default_PFC_24	205.0	65.0	82.0	255.0
190	7Networks_LH_Default_pCunPCC_1	205.0	63.0	78.0	255.0
191	7Networks_LH_Default_pCunPCC_2	205.0	63.0	86.0	255.0
192	7Networks_LH_Default_pCunPCC_3	205.0	64.0	86.0	255.0
193	7Networks_LH_Default_pCunPCC_4	205.0	65.0	83.0	255.0
194	7Networks_LH_Default_pCunPCC_5	205.0	65.0	84.0	255.0
195	7Networks_LH_Default_pCunPCC_6	205.0	65.0	85.0	255.0
196	7Networks_LH_Default_pCunPCC_7	205.0	65.0	86.0	255.0
197	7Networks_LH_Default_pCunPCC_8	205.0	66.0	79.0	255.0
198	7Networks_LH_Default_pCunPCC_9	205.0	66.0	80.0	255.0
199	7Networks_LH_Default_pCunPCC_10	205.0	66.0	81.0	255.0
200	7Networks_LH_Default_pCunPCC_11	205.0	66.0	82.0	255.0
201	7Networks_RH_Vis_1	124.0	17.0	130.0	255.0
202	7Networks_RH_Vis_2	124.0	17.0	131.0	255.0
203	7Networks_RH_Vis_3	124.0	17.0	132.0	255.0
204	7Networks_RH_Vis_4	124.0	17.0	133.0	255.0
205	7Networks_RH_Vis_5	124.0	17.0	134.0	255.0
206	7Networks_RH_Vis_6	124.0	17.0	135.0	255.0
207	7Networks_RH_Vis_7	124.0	18.0	128.0	255.0
208	7Networks_RH_Vis_8	124.0	18.0	129.0	255.0
209	7Networks_RH_Vis_9	124.0	18.0	130.0	255.0
210	7Networks_RH_Vis_10	124.0	18.0	131.0	255.0
211	7Networks_RH_Vis_11	124.0	18.0	132.0	255.0
212	7Networks_RH_Vis_12	124.0	18.0	133.0	255.0
213	7Networks_RH_Vis_13	124.0	18.0	134.0	255.0
214	7Networks_RH_Vis_14	124.0	18.0	136.0	255.0
215	7Networks_RH_Vis_15	124.0	18.0	137.0	255.0
216	7Networks_RH_Vis_16	124.0	18.0	138.0	255.0
217	7Networks_RH_Vis_17	124.0	18.0	139.0	255.0
218	7Networks_RH_Vis_18	124.0	18.0	140.0	255.0
219	7Networks_RH_Vis_19	124.0	18.0	141.0	255.0
220	7Networks_RH_Vis_20	124.0	18.0	142.0	255.0
221	7Networks_RH_Vis_21	124.0	19.0	135.0	255.0
222	7Networks_RH_Vis_22	124.0	19.0	136.0	255.0
223	7Networks_RH_Vis_23	124.0	19.0	137.0	255.0
224	7Networks_RH_Vis_24	124.0	19.0	138.0	255.0
225	7Networks_RH_Vis_25	124.0	19.0	139.0	255.0
226	7Networks_RH_Vis_26	124.0	19.0	140.0	255.0
227	7Networks_RH_Vis_27	124.0	19.0	141.0	255.0
228	7Networks_RH_Vis_28	124.0	19.0	142.0	255.0
229	7Networks_RH_Vis_29	124.0	20.0	135.0	255.0
230	7Networks_RH_Vis_30	124.0	20.0	136.0	255.0
231	7Networks_RH_SomMot_1	74.0	128.0	179.0	255.0
232	7Networks_RH_SomMot_2	74.0	128.0	180.0	255.0
